POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CITY,STATE,POSTAL_CODE,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
413,23,24,2,8.32,600,69,14,37076,0,58,49,1,4,2,1,0,0,0,0,2,0,1,5,4,19,194,74
27,15,20,0,147.7,13000,39,3,85301,0,25,117,1,7,2,2,2,5,0,0,0,1,0,5,4,3,189,80
356,26,26,4,124.45,15000,38,12,21061,0,41,106,1,4,1,2,1,0,0,1,0,1,1,1,61,22,398,228
396,32,29,1,51.18,27000,108,7,20001,1,33,28,1,7,2,0,1,5,0,1,2,1,1,10,50,0,196,228
328,31,29,2,8.38,100,14,11,2445,0,64,100,1,5,1,1,1,0,0,1,1,1,1,6,54,17,219,12
181,21,23,1,95.16,52625,11,4,94702,0,26,51,1,2,1,0,1,1,0,0,3,1,1,10,50,13,111,71
190,13,18,1,66.73,52625,6,5,80007,1,30,100,1,3,2,0,2,4,0,1,0,1,0,12,78,7,308,228
307,21,23,2,8.27,300,77,8,32405,1,57,104,1,4,1,2,2,0,0,1,2,1,1,8,76,8,243,228
395,36,31,1,50.3,18000,47,4,94541,1,30,35,1,5,2,1,2,2,0,2,2,0,1,1,61,14,238,228
424,27,27,2,6.59,600,54,10,40223,1,26,108,1,4,1,2,0,4,0,1,0,0,0,7,114,6,49,209
384,23,24,2,11.04,600,82,11,1201,1,62,108,1,5,0,2,2,5,0,2,1,0,1,6,54,0,96,228
247,29,27,1,86.77,34000,108,7,20007,0,55,118,1,5,1,0,1,2,0,0,0,0,0,6,54,2,110,5
66,26,26,3,89.11,2000,62,15,5753,1,62,66,1,4,0,1,0,4,0,1,2,0,1,0,1,14,218,209
55,23,24,4,140.72,35000,57,6,6042,1,57,93,1,3,1,2,0,5,0,2,2,1,1,2,27,0,311,25
385,28,28,4,129.9,18000,12,8,34465,0,32,55,1,6,1,1,2,2,0,1,0,1,1,13,73,18,260,228
405,30,28,1,84.99,52625,66,1,36107,1,39,51,0,3,1,1,2,1,0,1,0,1,1,1,61,16,217,228
10,34,30,5,90.04,5000,39,3,85306,1,51,105,1,2,2,2,2,2,0,1,3,1,1,2,27,5,336,20
127,32,29,3,117.72,7000,51,4,94551,0,31,39,1,7,1,2,2,2,1,0,2,0,0,5,4,0,224,228
401,37,32,4,109.74,15000,115,15,5851,1,31,42,1,4,1,2,1,2,1,1,3,0,1,15,92,2,298,2
121,35,31,2,9.05,300,54,10,40272,0,56,115,1,5,2,0,0,0,0,0,0,1,1,7,114,22,207,228
78,29,27,3,116.99,10000,39,3,85308,0,51,88,1,7,2,1,2,1,0,1,0,0,0,3,34,13,248,177
210,13,18,2,11.04,400,54,10,40243,1,49,20,0,2,0,0,2,5,0,2,0,1,1,15,37,22,275,228
76,17,21,2,6.63,600,19,15,5445,1,64,59,1,7,1,1,1,0,0,2,1,0,1,1,61,22,408,90
380,35,31,3,82.82,9000,75,13,73170,0,43,34,1,7,1,0,2,1,0,0,0,0,0,0,1,21,99,7
57,33,30,4,104.05,16000,75,13,73162,1,41,106,0,7,1,2,2,0,0,1,0,1,1,9,100,5,366,159
412,26,26,4,137.02,19000,66,1,36117,1,46,49,1,3,2,2,2,0,0,2,0,1,1,12,33,9,16,157
2,19,22,5,75.99,3000,118,15,5149,1,64,92,1,5,1,2,0,1,0,2,0,1,0,11,113,19,75,180
19,25,25,3,92.71,2000,23,12,21032,0,47,102,1,2,0,0,2,2,0,2,2,1,1,4,48,7,140,120
261,35,31,4,111.33,30000,33,2,72701,0,36,15,1,2,1,2,1,1,0,2,0,1,1,0,1,14,181,49
346,27,27,2,8.51,300,71,15,5855,1,48,16,1,2,1,0,2,3,0,0,0,1,1,13,73,21,290,24
438,25,25,5,97.08,2000,95,9,31405,1,56,104,1,7,1,1,1,2,0,2,3,1,0,10,50,11,97,228
386,25,25,4,155.05,16000,66,1,36108,1,32,12,1,2,1,2,2,6,0,1,0,1,0,15,25,15,107,163
273,27,27,4,124.97,35000,108,7,20001,1,42,14,1,7,0,0,2,4,0,2,1,0,1,13,73,21,359,131
297,30,28,4,151.81,15000,77,8,32408,1,53,69,0,7,1,0,0,2,0,1,0,1,1,3,34,20,42,3
390,0,0,4,121.54,31000,69,14,37013,0,40,108,1,5,1,1,0,5,0,0,2,1,1,12,2,22,248,88
142,37,32,5,77.47,3000,36,4,94536,1,39,16,1,7,2,2,2,4,1,2,0,0,0,12,59,12,5,105
239,32,29,1,67.55,52625,113,15,5860,1,28,13,1,5,2,0,2,2,0,0,2,1,1,6,54,13,213,228
341,17,21,5,98.49,2000,79,12,21122,0,37,96,1,5,1,1,0,2,0,2,1,1,0,0,1,5,52,131
31,1,1,2,11.21,400,54,10,40207,1,53,54,1,6,2,1,2,0,0,2,1,1,1,6,54,10,204,228
107,34,31,0,156.2,3000,69,14,37208,1,36,82,0,4,1,2,2,0,0,2,2,0,0,4,72,7,202,76
321,29,29,2,7.23,100,75,13,73135,0,47,16,1,5,2,1,2,2,0,0,1,1,1,2,28,9,211,228
428,30,28,2,11.63,400,38,12,21061,1,33,51,1,2,2,0,2,0,0,2,0,1,0,0,1,1,390,9
106,36,32,5,74.36,5000,95,9,31404,0,56,40,1,3,1,2,2,0,0,2,2,0,1,5,4,5,216,141
329,27,27,1,76.97,52625,33,2,72704,1,52,108,1,7,1,0,1,0,0,1,0,0,1,8,77,3,108,228
201,0,0,2,6.15,300,6,5,80005,1,60,81,1,3,2,0,1,1,0,2,0,0,1,1,61,9,112,16
420,15,20,1,78.34,52000,69,14,37209,1,60,55,1,4,1,1,2,0,0,1,0,1,0,5,110,17,200,228
215,21,23,1,67.88,52625,95,9,31405,1,50,34,1,4,0,1,0,0,0,0,0,1,1,5,119,19,326,190
117,15,20,1,68.72,52625,69,14,37212,1,32,85,1,7,0,2,2,2,0,0,3,1,1,4,49,5,71,177
49,33,30,1,86.31,39000,90,4,95824,0,42,54,1,7,2,0,0,0,0,0,0,1,0,2,28,17,95,228
369,28,28,3,100.14,7000,5,11,2474,1,33,36,1,6,1,0,2,2,0,0,2,1,1,4,72,15,35,228
402,1,1,5,81.79,4000,6,5,80004,0,63,43,0,3,2,2,0,3,0,0,0,1,0,2,28,4,239,228
58,30,28,1,88.05,52625,29,13,73013,1,36,42,1,5,2,2,2,2,0,1,0,1,0,9,100,21,113,228
171,23,24,5,89.36,2000,57,6,6042,1,36,29,1,3,1,0,2,3,0,0,0,0,0,9,100,10,220,95
43,37,32,1,95.04,14000,44,12,21076,1,35,39,1,6,1,0,2,0,0,1,0,0,1,0,1,10,199,167
4,36,32,2,11.57,100,69,14,37207,0,44,107,1,3,1,2,2,1,0,1,3,0,0,8,76,13,271,228
351,15,20,3,109.33,6000,33,2,72703,1,50,69,1,6,1,2,0,0,0,2,3,1,1,8,123,0,106,23
179,34,31,3,126.63,1000,69,14,37207,1,34,35,1,4,1,0,0,0,0,0,2,0,1,5,4,9,59,200
414,36,32,1,77.65,52625,77,8,32405,1,25,75,1,5,2,0,2,2,0,0,0,1,0,4,44,16,281,220
451,27,27,3,82.0,10000,6,5,80004,1,61,21,1,5,1,1,2,1,0,1,3,0,1,8,53,4,0,135
342,37,32,0,102.63,9000,74,4,94611,0,63,96,1,3,1,1,1,0,0,0,3,0,1,11,51,4,333,228
83,33,30,0,199.63,16000,39,3,85304,0,26,47,1,3,1,0,2,2,0,0,2,1,1,8,76,9,148,228
133,26,26,5,62.02,1000,57,6,6040,0,45,85,1,4,1,0,2,3,0,1,0,0,1,13,73,22,399,25
223,17,21,0,153.52,19000,54,10,40222,1,28,108,1,6,1,2,2,2,0,1,1,1,0,14,65,9,205,195
48,29,29,0,116.27,7000,25,15,5873,1,60,119,1,3,0,1,0,2,0,0,0,1,1,4,72,7,170,81
411,36,32,5,72.52,1000,75,13,73112,1,47,94,1,6,1,0,0,2,0,2,2,1,1,13,63,10,315,228
167,37,0,1,83.23,52625,66,1,36117,1,55,71,1,6,2,1,0,4,0,0,3,0,1,12,20,6,87,184
6,32,30,3,116.8,9000,108,7,20003,0,55,64,1,5,1,2,0,3,0,2,0,0,1,0,1,13,174,228
453,37,0,1,82.05,15000,108,7,20011,1,35,75,1,2,2,0,1,0,0,2,3,0,0,7,114,8,136,228
358,31,29,1,75.6,41000,69,14,37218,1,45,80,1,4,2,1,2,0,0,2,2,1,0,8,76,7,278,228
391,32,30,2,9.14,300,39,3,85302,0,49,44,1,3,2,2,2,2,0,1,0,1,1,9,100,10,329,225
348,36,32,2,11.34,200,3,0,99518,1,60,77,1,5,0,2,1,2,0,0,0,1,0,4,19,13,2,228
206,19,22,4,89.76,31000,95,9,31401,0,37,42,1,6,2,0,0,2,0,0,0,1,1,3,34,10,1,17
74,17,21,3,136.47,1000,3,0,99515,1,50,114,0,3,1,0,2,0,0,2,0,0,1,3,34,23,244,228
291,19,22,3,127.87,7000,77,8,32404,0,39,72,0,5,2,1,2,3,0,2,3,1,1,1,61,8,67,117
353,1,1,5,60.87,3000,108,7,20002,1,42,64,1,2,1,2,2,2,0,1,2,1,0,7,114,7,303,228
298,27,27,1,92.65,19000,34,11,1420,0,61,117,1,5,0,0,1,0,0,0,2,0,0,15,94,1,405,228
195,0,0,1,96.95,50000,4,12,21403,0,47,19,1,4,1,0,2,0,0,0,0,1,1,4,109,5,395,228
249,31,29,1,69.59,52625,66,1,36117,1,47,94,1,2,2,2,1,4,0,1,1,0,0,4,43,12,211,171
174,36,32,4,94.33,20000,33,2,72701,1,40,85,0,7,1,0,1,2,0,0,0,1,0,1,61,11,89,121
425,25,25,1,71.65,52625,108,7,20003,1,64,42,1,2,2,2,1,6,0,2,2,0,1,14,65,14,364,13
445,26,26,5,96.33,2000,31,4,95501,1,51,54,1,5,2,2,1,0,0,1,0,1,1,6,54,21,176,74
63,25,25,2,9.58,600,95,9,31404,0,60,84,1,2,2,2,0,4,0,0,1,0,0,7,114,5,407,52
230,26,26,3,134.55,6000,84,9,31322,1,57,51,1,5,1,0,0,2,0,0,0,1,1,0,1,0,9,149
342,19,22,3,107.72,3000,57,6,6042,0,62,27,0,4,1,1,0,4,0,2,2,0,1,13,58,12,128,228
271,17,21,0,189.17,10000,54,10,40207,1,47,11,1,2,1,2,0,2,1,2,2,0,0,5,4,17,156,228
251,28,28,5,61.14,3000,69,14,37209,0,32,63,1,2,2,2,1,0,0,0,0,0,0,6,54,8,336,228
250,27,27,2,8.41,100,57,6,6042,1,33,72,1,7,1,0,2,4,0,0,0,1,1,15,16,20,246,128
325,32,30,1,82.01,52625,92,4,94579,1,49,56,1,2,2,1,1,0,0,2,0,0,0,2,28,23,412,36
129,27,27,4,116.87,21000,10,15,5641,1,57,60,1,7,1,1,0,1,0,0,2,1,0,6,54,5,123,228
277,37,0,2,6.19,700,87,4,92373,1,26,43,1,7,1,0,2,2,0,1,0,1,1,12,33,7,127,228
440,35,32,5,95.96,4000,6,5,80004,1,45,32,1,5,1,0,1,6,0,1,1,0,0,9,82,18,131,104
283,28,28,1,56.22,52625,75,13,73114,1,37,51,1,5,2,2,1,3,1,0,2,0,1,8,76,12,300,83
306,25,25,2,10.22,700,8,5,80011,0,42,107,1,2,2,0,0,2,0,0,2,1,0,4,93,14,172,228
47,37,0,4,139.5,15000,49,0,99611,0,54,40,1,3,2,0,2,5,1,1,0,1,1,5,4,18,361,228
182,30,30,5,59.16,4000,108,7,20003,1,29,36,1,4,2,0,2,2,0,0,2,0,1,9,100,13,94,97
197,2,2,1,74.25,52625,41,11,1301,1,25,54,1,6,1,1,1,2,0,1,3,1,1,4,7,17,94,221
141,23,24,1,51.12,36000,54,10,40213,0,56,46,1,7,0,0,0,0,0,2,3,1,0,13,58,5,350,189
359,26,26,1,52.71,43000,66,1,36117,1,57,35,1,3,2,2,1,0,0,2,2,1,1,0,1,5,393,93
185,32,30,3,111.08,5000,39,3,85308,1,41,119,1,6,1,0,1,0,0,1,1,0,0,9,100,23,18,54
266,19,22,4,120.86,39000,89,8,33579,1,64,97,1,6,1,1,0,1,0,1,3,1,1,0,1,10,76,226
398,23,24,1,53.86,52625,69,14,37207,1,35,50,1,6,1,1,2,0,0,0,2,0,1,14,65,18,162,188
279,21,23,2,10.39,300,39,3,85306,1,31,106,1,4,0,2,0,0,0,2,3,0,1,6,54,18,391,228
166,23,24,3,91.56,5000,6,5,80003,1,30,41,1,7,1,2,2,5,0,1,3,1,1,8,76,9,91,228
147,29,29,4,140.85,13000,66,1,36116,1,41,52,1,5,1,1,1,0,0,2,0,1,1,5,5,8,379,118
165,2,2,5,64.31,4000,73,10,40222,1,28,16,1,7,2,2,1,4,0,0,1,1,1,1,60,8,353,228
339,32,30,5,68.83,5000,33,2,72701,0,28,12,1,3,2,1,1,0,0,2,0,0,1,15,16,22,306,228
102,30,30,5,59.33,3000,66,1,36108,0,62,51,1,5,0,2,0,2,0,2,0,0,1,8,77,12,32,179
82,37,0,3,129.58,4000,33,2,72701,1,39,93,1,2,1,0,2,2,0,1,2,1,1,15,111,5,386,149
161,36,0,2,11.46,100,43,15,5301,1,26,55,0,5,0,1,1,0,0,1,1,0,1,2,28,23,118,204
13,37,0,2,6.75,200,57,6,6040,1,54,14,1,5,1,2,2,2,0,1,3,1,1,7,114,4,366,228
52,37,0,0,121.26,3000,22,12,21114,1,39,96,1,5,2,2,2,2,0,2,0,1,1,11,26,7,223,128
145,19,22,0,188.54,17000,3,0,99577,0,31,67,1,2,1,0,1,0,0,1,2,1,0,9,100,10,324,216
430,37,0,4,105.82,31000,84,9,31322,1,60,63,1,3,2,0,0,1,0,0,3,1,1,10,50,2,405,227
281,25,25,2,7.6,100,6,5,80003,1,44,22,1,3,2,0,2,6,0,1,0,0,1,7,114,18,133,21
116,35,32,2,6.08,200,96,12,21144,0,55,88,1,5,1,1,0,2,0,0,3,1,0,12,33,10,340,104
65,1,2,4,147.74,11000,69,14,37013,1,42,68,1,6,1,0,2,2,0,1,2,0,1,9,82,0,183,63
441,33,31,2,6.91,100,34,11,1420,1,62,101,1,3,2,1,2,0,0,1,3,1,0,14,68,16,372,228
199,25,25,1,70.03,39000,33,2,72704,1,64,28,1,7,2,0,2,2,0,2,2,1,0,14,65,6,228,41
214,29,29,4,129.39,29000,68,4,94043,0,43,86,1,5,1,1,1,0,0,1,1,1,1,10,71,21,50,11
335,29,29,5,56.73,5000,57,6,6042,0,34,59,1,4,2,1,1,1,0,2,0,1,0,10,50,11,33,228
29,29,29,1,67.5,34000,78,8,32413,1,54,104,1,3,2,2,2,2,0,2,0,1,1,15,9,17,121,152
308,27,27,4,91.55,28000,77,8,32405,0,41,101,1,7,2,0,0,0,0,0,2,0,1,12,2,19,60,144
68,28,28,0,135.82,16000,77,8,32404,1,32,9,1,7,2,1,1,0,0,0,3,1,1,15,79,10,131,96
292,23,24,2,7.21,500,54,10,40207,1,47,78,1,5,2,1,2,2,0,1,2,1,1,5,4,3,376,219
112,33,31,2,6.79,300,33,2,72701,1,26,68,1,2,1,0,2,6,0,2,2,0,0,4,19,5,79,139
322,4,4,3,80.73,4000,36,4,94536,1,49,9,1,4,1,0,1,0,0,1,2,0,1,11,3,16,167,28
134,32,32,0,124.56,8000,74,4,94619,1,27,93,1,4,2,2,1,5,0,2,0,1,1,5,4,16,11,228
426,27,27,4,117.59,34000,67,13,73160,1,42,38,1,7,1,0,2,0,0,0,2,1,1,2,28,8,299,228
36,3,3,4,124.28,33000,39,3,85301,1,28,91,1,4,2,2,1,2,0,2,0,1,0,6,54,22,355,68
62,25,25,4,123.41,24000,64,11,1757,1,35,25,1,5,1,0,0,4,0,2,0,0,1,8,46,20,324,29
80,0,1,0,121.92,20000,6,5,80007,1,60,29,1,6,1,2,0,2,0,2,3,1,1,1,61,9,309,137
444,23,24,1,55.99,52625,118,12,21226,1,31,112,1,6,1,1,0,0,0,0,3,1,1,11,21,22,58,228
455,23,24,0,187.72,1000,33,2,72703,1,54,85,1,7,0,1,2,0,1,1,3,1,0,12,104,19,203,228
97,1,2,4,146.79,32000,33,2,72704,1,26,90,1,6,1,2,2,6,0,2,0,1,1,9,100,6,324,228
268,26,26,4,120.07,33000,6,5,80003,1,61,68,1,3,1,2,0,0,0,0,0,0,1,1,81,14,64,228
229,25,25,4,129.97,15000,5,11,2474,0,64,20,1,3,0,0,2,0,0,2,2,1,1,2,28,13,247,173
324,29,29,3,110.4,1000,66,1,36117,0,35,88,1,5,1,1,0,0,0,1,0,0,1,11,75,6,147,46
344,33,31,2,6.76,300,75,13,73112,0,62,65,1,7,2,1,1,2,0,0,3,1,0,12,104,10,196,228
90,0,1,2,9.49,700,86,11,2171,0,60,114,1,4,0,0,1,6,0,2,1,0,0,14,65,18,155,162
240,37,1,2,11.87,400,15,12,21225,1,49,107,1,3,1,0,2,0,0,2,3,0,1,10,95,18,104,23
448,32,32,4,109.65,17000,69,14,37209,1,31,112,1,2,1,2,1,2,0,1,3,1,1,3,34,22,14,228
177,2,2,0,164.79,8000,95,9,31405,1,36,100,1,5,2,0,2,4,0,1,2,1,0,1,61,13,276,228
423,21,23,4,133.52,13000,108,7,20011,1,62,52,1,3,2,0,2,0,0,0,3,0,1,14,65,1,357,228
384,34,32,2,9.69,300,95,9,31404,1,40,36,1,4,1,2,0,0,0,1,0,1,1,5,11,0,103,228
338,4,4,2,11.11,100,75,13,73129,1,51,22,1,2,1,2,1,4,0,1,0,0,1,8,76,18,325,103
0,27,27,1,89.74,52625,118,15,5733,1,50,67,1,7,2,0,2,0,0,2,0,1,1,12,104,2,226,228
180,36,0,5,79.9,5000,55,8,32444,1,30,93,1,6,1,0,1,0,0,1,1,0,1,10,50,15,130,18
92,2,2,0,140.37,5000,33,2,72703,0,52,87,1,4,0,1,2,1,0,1,2,1,0,5,4,3,312,228
211,32,32,5,79.18,2000,104,4,94591,1,44,94,1,4,2,0,0,2,0,0,0,1,1,3,34,7,257,22
310,5,5,5,85.43,4000,27,15,5837,0,58,75,1,5,0,1,0,0,0,2,1,1,0,14,65,10,209,207
357,4,4,3,112.42,4000,79,12,21122,1,33,14,1,4,2,2,1,6,0,2,3,0,1,8,76,1,185,81
274,32,32,2,10.57,300,18,11,2139,1,45,76,0,2,2,1,1,0,1,2,1,1,1,3,34,6,404,228
325,2,3,2,6.37,300,57,6,6042,1,60,15,0,2,0,0,0,6,0,2,0,0,0,7,114,16,100,34
456,35,0,1,61.5,38000,114,4,95692,1,27,114,1,4,2,0,2,2,0,2,1,1,1,14,65,12,389,47
443,4,4,2,10.6,400,77,8,32409,1,27,79,1,4,1,2,1,1,0,1,0,1,1,15,125,22,263,169
101,37,1,0,183.13,12000,48,10,40299,0,60,43,1,6,1,0,2,0,0,2,0,0,0,11,101,20,192,151
18,31,31,4,111.63,17000,65,12,21108,1,60,52,1,3,2,2,2,0,0,0,0,0,1,10,50,6,271,67
176,25,25,4,115.92,15000,6,5,80005,0,52,28,1,6,1,0,0,0,1,2,0,1,0,10,50,21,90,6
158,26,26,4,98.83,10000,108,7,20015,0,31,10,1,4,1,0,0,0,0,2,0,1,1,8,76,5,378,228
100,5,5,2,10.52,700,85,9,31407,1,55,19,1,3,1,1,2,1,0,0,0,1,0,11,66,15,384,141
146,2,3,4,149.71,30000,116,15,5495,1,47,84,1,4,2,0,2,0,0,2,1,0,0,5,4,7,98,130
251,32,32,2,7.79,500,54,10,40223,1,33,43,1,6,1,2,1,3,0,2,2,1,1,4,43,14,195,119
225,0,2,4,141.85,29000,9,4,93311,1,43,89,1,3,1,2,2,2,0,1,0,1,1,15,9,16,128,228
137,1,2,5,96.15,5000,32,15,5743,0,32,110,1,4,1,0,2,6,0,2,2,1,1,5,4,23,129,228
154,3,3,4,94.3,15000,38,12,21061,1,47,84,1,7,2,2,1,0,0,1,0,1,1,1,61,20,305,228
388,29,29,5,53.44,4000,39,3,85304,1,61,11,1,5,2,2,2,0,0,0,3,1,1,7,114,20,320,91
216,35,0,4,135.07,32000,100,8,33573,0,29,108,1,6,0,1,2,2,0,2,0,1,1,4,99,5,63,89
10,4,4,0,145.92,11000,97,15,5482,1,60,41,1,4,2,2,0,0,0,2,0,0,1,1,61,6,258,92
9,36,1,0,148.66,16000,54,10,40245,1,61,11,1,7,1,2,1,0,0,1,2,1,1,11,108,2,413,228
367,23,24,4,130.11,13000,38,12,21060,1,56,20,1,3,0,2,2,2,0,0,0,0,1,0,1,11,214,228
170,34,32,2,9.68,400,6,5,80004,1,57,91,1,5,0,2,0,2,0,2,2,1,0,8,76,6,249,24
265,33,0,5,87.89,2000,6,5,80004,1,51,118,1,5,2,0,2,4,0,2,2,1,0,9,100,18,375,228
255,28,28,5,57.47,1000,38,12,21061,0,62,117,1,2,0,1,2,0,0,1,0,1,1,14,65,4,31,100
42,33,0,1,69.5,35000,36,4,94538,1,40,97,1,4,0,0,1,5,0,2,1,1,0,1,61,17,102,24
140,1,2,1,83.46,52625,11,4,94709,1,38,24,1,4,2,2,0,0,0,0,0,1,1,4,30,12,294,224
3,34,32,2,7.92,400,3,0,99501,1,27,22,1,2,1,2,0,3,0,1,2,1,0,14,65,20,279,199
362,0,2,3,71.18,7000,3,0,99502,1,27,21,0,2,1,1,1,6,0,1,1,1,0,11,13,6,354,123
333,5,5,0,181.29,6000,57,6,6040,0,63,59,1,2,0,0,2,0,0,0,3,1,1,4,49,4,113,228
21,37,2,5,91.27,2000,47,4,94541,1,56,86,1,3,2,0,1,1,0,0,3,1,1,8,57,20,242,0
114,36,1,5,82.11,2000,39,3,85308,1,53,111,1,3,1,2,2,2,0,0,3,1,1,9,100,17,314,88
109,6,6,3,78.65,3000,11,4,94709,0,41,14,1,2,2,2,1,0,0,2,1,1,0,4,124,10,76,228
227,5,5,5,65.44,4000,33,2,72764,1,41,100,1,6,1,2,0,0,0,2,0,1,1,11,13,7,92,228
381,36,1,1,80.75,16000,6,5,80003,1,35,80,1,6,1,2,0,4,0,1,0,0,1,3,80,4,83,228
115,32,32,3,95.58,5000,33,2,72701,1,59,77,1,4,2,0,0,3,0,0,3,0,0,9,100,11,77,165
87,27,27,5,88.24,4000,101,15,5488,1,62,13,1,3,0,2,1,2,0,2,0,1,1,10,50,23,319,228
315,27,27,4,106.79,17000,95,9,31419,1,53,56,1,5,1,2,2,3,1,0,2,0,0,4,72,14,253,228
184,32,32,4,97.11,12000,70,15,5345,1,30,90,1,6,0,1,2,2,0,1,1,1,0,8,76,18,146,228
120,35,0,4,151.43,13000,69,14,37205,0,42,72,1,4,2,2,0,0,0,2,0,1,1,4,72,5,198,228
5,4,4,1,74.48,11000,95,9,31410,1,25,16,1,5,0,2,1,2,1,2,3,1,1,11,45,5,171,61
226,5,5,4,116.93,15000,117,15,5201,1,58,104,1,5,0,0,0,1,0,1,0,1,1,6,54,15,336,79
434,34,1,1,60.07,45000,45,15,5001,1,47,53,1,3,2,0,0,2,1,0,0,1,0,11,56,20,34,158
44,26,26,0,190.93,1000,57,6,6040,1,46,12,1,7,1,1,2,0,0,0,1,1,0,15,87,2,57,136
91,26,26,4,111.07,19000,95,9,31404,1,50,115,1,3,0,2,2,0,0,1,1,0,1,7,114,16,114,148
118,30,30,0,119.13,13000,46,15,5048,1,50,84,1,7,2,1,2,4,0,0,3,1,0,12,18,10,210,228
